Name,Email,Product,Transaction Date,Churn
PERSON_1,PERSON_1@gmail.com,PRODUCT_75,2021-03-01 00:47:26,0
PERSON_2,PERSON_2@tataprojects.com,PRODUCT_75,2021-03-01 02:04:07,0
PERSON_3,PERSON_3@gmail.com,PRODUCT_63,2021-03-01 09:10:43,0
PERSON_4,PERSON_4@gmail.com,PRODUCT_63,2021-03-01 09:49:48,0
PERSON_5,PERSON_5@gmail.com,"PRODUCT_34,PRODUCT_86,PRODUCT_57,PRODUCT_89",2021-03-01 10:56:46,0
PERSON_6,PERSON_6@gmail.com,"PRODUCT_34,PRODUCT_66,PRODUCT_58,PRODUCT_83",2021-03-01 11:06:34,0
PERSON_7,PERSON_7@gmail.com,PRODUCT_75,2021-03-01 12:02:00,0
PERSON_8,PERSON_8@gmail.com,"PRODUCT_63,PRODUCT_90,PRODUCT_27,PRODUCT_5",2021-03-01 12:31:10,0
PERSON_9,PERSON_9@outlook.com,PRODUCT_26,2021-03-01 12:51:46,0
PERSON_10,PERSON_10@gmail.com,PRODUCT_63,2021-03-01 12:52:29,0
PERSON_11,PERSON_11@gmail.com,PRODUCT_63,2021-03-01 13:15:39,0
PERSON_12,PERSON_12@gmail.com,"PRODUCT_5,PRODUCT_34",2021-03-01 13:37:45,0
PERSON_13,PERSON_13@gmail.com,"PRODUCT_84,PRODUCT_27",2021-03-01 14:17:44,0
PERSON_14,PERSON_14@gmail.com,PRODUCT_27,2021-03-01 14:27:49,0
PERSON_15,PERSON_15@gmail.com,PRODUCT_25,2021-03-01 14:37:16,0
PERSON_16,PERSON_16@gmail.com,PRODUCT_75,2021-03-01 14:56:02,0
PERSON_17,PERSON_17@gmail.com,PRODUCT_84,2021-03-01 15:03:28,0
PERSON_18,PERSON_18@gmail.com,PRODUCT_34,2021-03-01 15:08:10,0
PERSON_19,PERSON_19@gmail.com,PRODUCT_85,2021-03-01 15:48:41,0
PERSON_20,PERSON_20@gmail.com,"PRODUCT_63,PRODUCT_75",2021-03-01 17:11:37,0
PERSON_21,PERSON_21@gmail.com,PRODUCT_75,2021-03-01 17:33:52,0
PERSON_22,PERSON_22@gmail.com,"PRODUCT_27,PRODUCT_75",2021-03-01 17:34:01,0
PERSON_23,PERSON_23@gmail.com,PRODUCT_63,2021-03-01 17:38:07,0
PERSON_24,PERSON_24@kamalmotors.co.in,PRODUCT_63,2021-03-01 17:53:28,0
PERSON_25,PERSON_25@gmail.com,PRODUCT_25,2021-03-01 18:09:43,0
PERSON_26,PERSON_26@yahoo.com,PRODUCT_63,2021-03-01 18:12:02,0
PERSON_27,PERSON_27@gmail.com,PRODUCT_75,2021-03-01 18:12:19,0
PERSON_28,PERSON_28@gmail.com,"PRODUCT_63,PRODUCT_27",2021-03-01 18:43:55,0
PERSON_29,PERSON_29@gmail.com,"PRODUCT_27,PRODUCT_25",2021-03-01 19:14:19,0
PERSON_30,PERSON_30@gmail.com,PRODUCT_63,2021-03-01 19:29:24,0
PERSON_31,PERSON_31@gmail.com,"PRODUCT_26,PRODUCT_24",2021-03-01 20:00:00,0
PERSON_32,PERSON_32@gmail.com,PRODUCT_30,2021-01-01 08:30:00,1
PERSON_33,PERSON_33@gmail.com,PRODUCT_41,2021-01-03 10:10:00,1
PERSON_34,PERSON_34@gmail.com,"PRODUCT_13,PRODUCT_27",2021-01-05 13:45:00,1
